Hint 1,Hint 2,Hint 3,Name,Description,Image,Life,Type 1,Dice 1,Effects 1,Type 2,Dice 2,Effects 2,Type 3,Dice 3,Effects 3
s,s,,"Chant, the Winsome",I'll give us the edge in any outcome.,1012500,5,reactive,1,for any result of the die roll: Add half of the die result to any other of your die rolls.,reactive,1,for any result of the die roll: Subtract half of the die result from any of your opponent's die rolls.,,,
b,,,"Mutt, the Selfless",I'll take the hit.,1004530,1,passive,0,when any of your characters is attacked: Redirect the attack onto this character.,,,,,,
,,,"Denier, the Pacific","I won't fight, but gladly leave.",1018710,0,,,,,,,,,
a,,,"Wily, the Ignoble",I know some tricks to make them flinch.,1000740,4,active,1,"for any result of the die roll: Attack another character with a third of the die result.
when the die result equals 5 or more: Suspend the character you attack.",,,,,,
h,h,,"Nosh, the Cook",There is always time for snacks.,1011410,2,passive,0,"when this character enters field: Increase health of all of your characters by 1.
when this character leaves field: Reduce health of all of your characters by 1.",passive,0,at the beginning of your turn: Restore health of one of your characters by 1.,,,
s,a,,"Vindic, the Resentful",I pay it back for the last one out.,1017390,3,passive,0,when this character enters field: Set health of this character to the life of the top-most on discard pile.,active,1,for any result of the die roll: Attack another character with the die result limited to half the health of this character.,,,
a,b,,"Ripost, the Patient",I'll wait for their every move.,1001380,4,passive,0,for every opponent attack: Deal 1 damage back to the attacker.,reactive,1,for any result of the die roll: Defend this character with half of the die result. Any excess over the incoming damage is dealt back to the attacker.,,,
s,,,"Chary, the Helpful",I will help with anything and step back.,1013140,2,active,1,"for any result of the die roll: Increase the effect of any action of one of your characters by half of the die result.
when the die result equals 4 or more: Return this character to your deck.",,,,,,
a,b,,"Poniard, the Bold",To beat them I'm willing to take some risks.,1000440,3,active,1-2,"when the die result equals 5 or more: Attack another character with 4.
when the die result equals 1: Get damage from the attacked equal to half their life.
when the result of a second die equals the first: Eliminate the character you attack.",,,,,,
a,h,,"Joint, the Inspiring",I push the others and they drive me.,1004510,4,active,1,for any result of the die roll: Attack another character with the die result limited to half of your lowest health.,passive,0,on the first attack in your turn: Restore health of one of your characters by a third of the inflicted damage.,,,
a,,,"Vandal, the Impetuous",When I take action all will get some.,1015460,3,active,1,"for any result of the die roll: Attack all characters of the opponent with a third of the die result.
when the die result equals 4 or more: Deal 1 damage to all of your characters.",,,,,,
s,a,,"Snob, the Pompous",I can't suffer any low life.,1015160,5,passive,0,when this character enters field: You must return one of your characters with lowest life to your deck.,active,1,for any result of the die roll: Attack another character whose life is less or equal to the die result with 2.,,,
s,a,b,"Skill, the Jaded",I'll fight strong but can't carry on as long.,1016640,7,passive,0,for every action of this character: Reduce health of this character by 1.,active,1,for any result of the die roll: Attack another character with half of the die result.,reactive,1,for any result of the die roll: Defend one of your characters with half of the die result.
h,h,,"Frail, the Bountiful",I'll give ours a leg-up one at a time.,1016270,2,active,1,for any result of the die roll: Restore health of one of your characters by a third of the die result.,active,2,"when the results of both die rolls do not equal: Restore health of one of your characters by the lower die result.
when the results of both die rolls equal: Restore health of one of your characters fully.",,,
a,a,,"Timid, the Social",With the others around I thrive.,1001990,4,active,1,"when the die result equals your field count: Attack another character with 3.
when the die result is less than field count: Attack another character with 2.",reactive,1,for any result of the die roll: Increase the attack of another character by half the die result limited to your field count.,,,
a,b,,"Thug, the Belligerent",Nothing gets me going like a good brawl.,1018260,5,active,1,for any result of the die roll: Attack another character with the die result reduced by this character's health.,reactive,1,for any result of the die roll: Redirect damage from another one of your characters onto this character equal to half of the die result.,,,
s,a,,"Braggart, the Cocky",Let me try and be impressed.,1004100,5,passive,0,in your turn: Use 1 die for the second ability of this character.,active,1,when the die result equals 6: Attack another character with 6.,,,
a,a,,"Stall, the Dramatic",When the others are out I'll step in.,1002940,5,active,1,"when the die result equals 3 or less: Attack another character with half the count of characters on your discard pile.
when the die result equals 4 or more: Attack another character with the count of characters on your discard pile.",passive,0,when this character is eliminated: Deal damage to the attacker equal to half the count of characters on your discard pile.,,,
a,h,,"Meek, the Diffident",For each one beaten I gain some grit.,1000460,2,active,1,"when the die result equals 3 or less: Attack another character with half the health of this character.
when the die result equals 4 or more: Attack another character with the health of this character.",passive,0,when any opponent character is eliminated: Increase health of this character by 1.,,,
a,a,a,"Champ, the Rusty",Half the time I still outshine those youngsters.,1016070,7,active,1,when the die result equals 4 or more: Attack one other character with 3.,active,1,when the die result equals 4 or more: Attack two other characters with 2.,active,1,when the die result equals 4 or more: Attack three other characters with 1.
s,s,,"Ties, the Imperious",I shift the ranks to our heart's content.,1017830,3,active,1,for any result of the die roll: Look at the number of cards from your deck equal to half of the die result. Decide for each character whether to stay on top or move to the bottom of the deck.,active,1,for any result of the die roll: Look at the number of cards from the opponent's deck equal to half of the die result. Decide for each character whether to stay on top or move to the bottom of the deck.,,,
